Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,Deserto
219,2013,1,102302,2015,1,300,0,NULL,3,3,0,1,7.54,3,3,0,1,7.02,6,6,0,1,7.28,0
209,2014,1,102301,2015,1,152,0,NULL,5,4,1,0.8,6.56,5,3,2,0.6,5.56,10,7,3,0.7,6.06,0
702,2014,1,102301,2015,1,264,0,NULL,5,5,0,1,7.01,4,3,0,0.75,6.18,9,8,0,0.8889,6.59,0
702,2014,1,102301,2015,1,485,0,NULL,5,2,2,0.4,4.73,4,2,1,0.5,6.28,9,4,3,0.4444,5.5,0
106,2009,1,102301,2015,1,241,0,NULL,5,1,4,0.2,4.4,2,2,0,1,7.2,7,3,4,0.4286,5.8,0
414,2014,1,102301,2015,1,261,0,NULL,5,0,0,0,0.04,3,1,0,0.3333,2.83,8,1,0,0.125,1.44,0
106,2009,1,102301,2015,1,472,0,NULL,5,1,4,0.2,4.58,3,3,0,1,7.9,8,4,4,0.5,6.24,0
218,2013,1,102302,2015,1,397,0,NULL,3,1,2,0.3333,5.61,3,2,1,0.6667,5.99,6,3,3,0.5,5.8,0
209,2014,1,102301,2015,1,480,0,NULL,5,5,0,1,7.27,4,4,0,1,7.19,9,9,0,1,7.23,0
303,2009,1,102302,2015,1,330,0,NULL,5,5,0,1,7.86,5,5,0,1,7.66,10,10,0,1,7.76,0
701,2013,1,102301,2015,1,500,0,NULL,6,6,0,1,7.86,4,4,0,1,8.11,10,10,0,1,7.99,0
303,2009,1,102302,2015,1,488,0,NULL,5,4,1,0.8,6.5,3,1,1,0.3333,3.77,8,5,2,0.625,5.13,1
441,2009,1,102301,2015,1,153,0,NULL,7,7,0,1,8.09,4,4,0,1,8.45,11,11,0,1,8.27,0
401,2015,1,102302,2015,1,18,0,NULL,5,3,2,0.6,5.36,3,3,0,1,6.93,8,6,2,0.75,6.14,1
702,2014,1,102301,2016,1,449,0,NULL,5,1,2,0.2,3.45,2,2,0,1,6.9,7,3,2,0.4286,5.17,0
219,2013,1,102301,2016,1,246,0,NULL,3,3,0,1,7.19,4,3,0,0.75,5.24,7,6,0,0.8571,6.21,0
701,2013,1,102301,2016,1,261,0,NULL,6,6,0,1,8.18,4,4,0,1,8.7,10,10,0,1,8.44,0
209,2014,1,102302,2016,1,300,0,NULL,4,1,2,0.25,3.88,4,3,1,0.75,5.71,8,4,3,0.5,4.79,0
106,2009,1,102301,2016,1,480,0,NULL,5,1,2,0.2,4.48,3,1,1,0.3333,5.17,8,2,3,0.25,4.82,1
103,2009,1,102301,2016,1,467,0,NULL,5,1,3,0.2,3.5,3,1,1,0.3333,4.3,8,2,4,0.25,3.9,0
702,2014,1,102301,2016,1,233,0,NULL,5,2,1,0.4,4.58,5,3,2,0.6,5.26,10,5,3,0.5,4.92,0
413,2016,1,102302,2016,1,154,0,NULL,5,4,1,0.8,6.58,3,3,0,1,8.38,8,7,1,0.875,7.48,0
702,2014,1,102301,2016,1,502,0,NULL,5,1,2,0.2,4.83,4,0,4,0,4.4,9,1,6,0.1111,4.62,0
702,2014,1,102301,2016,1,176,0,NULL,5,5,0,1,7.57,4,4,0,1,7.2,9,9,0,1,7.38,0
303,2016,1,102302,2016,1,489,0,NULL,5,5,0,1,8.1,5,5,0,1,7.06,10,10,0,1,7.58,0
409,2014,1,102302,2016,1,330,0,NULL,5,5,0,1,8.89,4,4,0,1,7.37,9,9,0,1,8.13,0
301,2016,1,102301,2016,1,606,0,NULL,5,5,0,1,8.1,4,3,0,0.75,6.32,9,8,0,0.8889,7.21,0
219,2013,1,102301,2016,1,445,0,NULL,3,2,1,0.6667,5.77,3,2,0,0.6667,5.31,6,4,1,0.6667,5.54,0
219,2013,1,102302,2016,1,227,0,NULL,3,3,0,1,8.43,4,4,0,1,7.72,7,7,0,1,8.07,0
219,2013,1,102302,2016,1,309,0,NULL,3,1,2,0.3333,6.08,4,3,0,0.75,6.39,7,4,2,0.5714,6.23,0
301,2009,1,102302,2016,1,241,0,NULL,6,6,0,1,8.17,5,5,0,1,8.04,11,11,0,1,8.1,0
444,2009,1,102301,2016,1,153,0,NULL,7,7,0,1,8.59,5,5,0,1,8.14,12,12,0,1,8.36,0
209,2014,1,102301,2016,1,152,0,NULL,5,5,0,1,8.78,4,4,0,1,8.32,9,9,0,1,8.55,0
441,2009,1,102301,2016,1,152,0,NULL,6,6,0,1,7.32,5,4,1,0.8,6.74,11,10,1,0.9091,7.03,0
403,2015,1,102301,2016,1,245,0,NULL,5,5,0,1,8.39,4,4,0,1,7.75,9,9,0,1,8.07,0
401,2015,1,102301,2016,1,215,0,NULL,5,4,1,0.8,6.61,5,4,0,0.8,5.77,10,8,1,0.8,6.19,0
402,2015,1,102301,2016,1,18,0,NULL,4,3,1,0.75,5.95,4,3,1,0.75,7.09,8,6,2,0.75,6.52,0
218,2013,1,102302,2016,1,422,0,NULL,3,3,0,1,7.93,3,2,1,0.6667,6.83,6,5,1,0.8333,7.38,0
413,2016,1,102302,2017,1,369,0,NULL,5,5,0,1,7.11,3,2,1,0.6667,6.95,8,7,1,0.875,7.03,0
105,2017,1,102301,2017,1,166,1,50,4,4,0,1,8.79,3,3,0,1,8.14,7,7,0,1,8.47,0
702,2014,1,102301,2017,1,296,0,NULL,5,1,1,0.2,4.16,4,3,0,0.75,6.07,9,4,1,0.4444,5.12,0
301,2016,1,102302,2017,1,309,0,NULL,5,5,0,1,8.39,5,4,0,0.8,7.07,10,9,0,0.9,7.73,0
219,2017,1,102302,2017,1,445,0,NULL,3,0,2,0,1.09,3,2,1,0.6667,5.63,6,2,3,0.3333,3.36,0
104,2017,1,102302,2017,1,235,0,NULL,4,4,0,1,7.3,4,3,0,0.75,6.16,8,7,0,0.875,6.73,0
106,2017,1,102301,2017,1,279,0,NULL,4,1,2,0.25,4.07,3,0,0,0,0,7,1,2,0.1429,2.04,0
209,2014,1,102302,2017,1,264,0,NULL,5,5,0,1,7.18,3,2,1,0.6667,6.04,8,7,1,0.875,6.61,0
106,2017,1,102302,2017,1,178,0,NULL,4,2,1,0.5,4.85,2,1,0,0.5,4.27,6,3,1,0.5,4.56,0
404,2015,1,102301,2017,1,330,0,NULL,5,4,0,0.8,5.75,4,4,0,1,7.19,9,8,0,0.8889,6.47,0
302,2016,1,102302,2017,1,201,0,NULL,4,4,0,1,7.18,4,2,0,0.5,3.59,8,6,0,0.75,5.38,0
106,2017,1,102302,2017,1,488,0,NULL,4,2,0,0.5,3.62,3,1,1,0.3333,4.54,7,3,1,0.4286,4.08,0
109,2017,1,102301,2017,1,271,1,33.99,4,3,1,0.75,6.6,5,3,2,0.6,5.76,9,6,3,0.6667,6.18,0
219,2013,1,102302,2017,1,996,1,50,3,3,0,1,8.86,3,3,0,1,8.97,6,6,0,1,8.92,0
403,2017,1,102301,2017,1,153,0,NULL,4,1,0,0.25,1.75,4,4,0,1,7.34,8,5,0,0.625,4.55,0
403,2015,1,102301,2017,1,392,0,NULL,4,3,0,0.75,5.74,4,3,1,0.75,6.4,8,6,1,0.75,6.07,0
218,2013,1,102302,2017,1,18,0,NULL,3,3,0,1,8.14,4,4,0,1,7.65,7,7,0,1,7.89,0
209,2014,1,102301,2017,1,363,0,NULL,5,2,2,0.4,5.04,3,0,3,0,0.86,8,2,5,0.25,2.95,1
219,2013,1,102302,2017,1,675,0,NULL,3,3,0,1,8.9,3,3,0,1,9.28,6,6,0,1,9.09,0
441,2009,1,102301,2017,1,152,0,NULL,6,6,0,1,6.83,5,5,0,1,7.42,11,11,0,1,7.13,0
441,2009,1,102301,2017,1,152,0,NULL,6,6,0,1,8.18,5,5,0,1,8.9,11,11,0,1,8.54,0
413,2016,1,102301,2017,1,185,0,NULL,4,3,1,0.75,7.24,3,0,3,0,1.54,7,3,4,0.4286,4.39,0
403,2015,1,102301,2018,1,35,0,NULL,5,5,0,1,7.84,4,4,0,1,8.28,9,9,0,1,8.06,0
218,2013,1,102302,2018,1,348,0,NULL,3,2,1,0.6667,6.51,4,4,0,1,7.07,7,6,1,0.8571,6.79,0
